district,date,state,confirmed,active,recovered,deceased,fatality_rate,recovery_rate
Ariyalur,2020-04-21,Tamil Nadu,3,3,0,0,0.0,0.0
Ariyalur,2020-04-22,Tamil Nadu,5,5,0,0,0.0,0.0
Ariyalur,2020-04-23,Tamil Nadu,5,5,0,0,0.0,0.0
Ariyalur,2020-04-24,Tamil Nadu,5,5,0,0,0.0,0.0
Ariyalur,2020-04-25,Tamil Nadu,5,5,0,0,0.0,0.0
Ariyalur,2020-04-26,Tamil Nadu,5,5,0,0,0.0,0.0
Ariyalur,2020-04-27,Tamil Nadu,5,5,0,0,0.0,0.0
Ariyalur,2020-04-28,Tamil Nadu,5,3,2,0,0.0,0.4
Ariyalur,2020-04-29,Tamil Nadu,5,1,4,0,0.0,0.8
Ariyalur,2020-04-30,Tamil Nadu,6,2,4,0,0.0,0.6666666666666666
Ariyalur,2020-05-01,Tamil Nadu,7,3,4,0,0.0,0.5714285714285714
Ariyalur,2020-05-02,Tamil Nadu,25,19,6,0,0.0,0.24
Ariyalur,2020-05-03,Tamil Nadu,27,21,6,0,0.0,0.2222222222222222
Ariyalur,2020-05-04,Tamil Nadu,33,27,6,0,0.0,0.18181818181818182
Ariyalur,2020-05-05,Tamil Nadu,33,27,6,0,0.0,0.18181818181818182
Ariyalur,2020-05-06,Tamil Nadu,221,215,6,0,0.0,0.027149321266968326
Ariyalur,2020-05-07,Tamil Nadu,245,239,6,0,0.0,0.024489795918367346
Ariyalur,2020-05-08,Tamil Nadu,245,239,6,0,0.0,0.024489795918367346
Ariyalur,2020-05-09,Tamil Nadu,261,255,6,0,0.0,0.022988505747126436
Ariyalur,2020-05-10,Tamil Nadu,265,259,6,0,0.0,0.022641509433962263
Ariyalur,2020-05-11,Tamil Nadu,298,292,6,0,0.0,0.020134228187919462
Ariyalur,2020-05-12,Tamil Nadu,334,324,10,0,0.0,0.029940119760479042
Ariyalur,2020-05-13,Tamil Nadu,338,325,13,0,0.0,0.038461538461538464
Ariyalur,2020-05-14,Tamil Nadu,338,325,13,0,0.0,0.038461538461538464
Ariyalur,2020-05-15,Tamil Nadu,348,153,195,0,0.0,0.5603448275862069
Ariyalur,2020-05-16,Tamil Nadu,348,34,314,0,0.0,0.9022988505747126
Ariyalur,2020-05-17,Tamil Nadu,353,25,328,0,0.0,0.9291784702549575
Ariyalur,2020-05-18,Tamil Nadu,355,27,328,0,0.0,0.923943661971831
Ariyalur,2020-05-19,Tamil Nadu,355,10,345,0,0.0,0.971830985915493
Ariyalur,2020-05-20,Tamil Nadu,355,10,345,0,0.0,0.971830985915493
Ariyalur,2020-05-21,Tamil Nadu,355,7,348,0,0.0,0.9802816901408451
Ariyalur,2020-05-22,Tamil Nadu,355,7,348,0,0.0,0.9802816901408451
Ariyalur,2020-05-23,Tamil Nadu,355,7,348,0,0.0,0.9802816901408451
Ariyalur,2020-05-24,Tamil Nadu,356,8,348,0,0.0,0.9775280898876404
Ariyalur,2020-05-25,Tamil Nadu,356,8,348,0,0.0,0.9775280898876404
Ariyalur,2020-05-26,Tamil Nadu,357,9,348,0,0.0,0.9747899159663865
Ariyalur,2020-05-27,Tamil Nadu,362,7,355,0,0.0,0.9806629834254144
Ariyalur,2020-05-28,Tamil Nadu,362,7,355,0,0.0,0.9806629834254144
Ariyalur,2020-05-29,Tamil Nadu,365,10,355,0,0.0,0.9726027397260274
Ariyalur,2020-05-30,Tamil Nadu,365,10,355,0,0.0,0.9726027397260274
Ariyalur,2020-05-31,Tamil Nadu,365,10,355,0,0.0,0.9726027397260274
Ariyalur,2020-06-01,Tamil Nadu,370,15,355,0,0.0,0.9594594594594594
Ariyalur,2020-06-02,Tamil Nadu,370,11,359,0,0.0,0.9702702702702702
Ariyalur,2020-06-03,Tamil Nadu,370,11,359,0,0.0,0.9702702702702702
Ariyalur,2020-06-04,Tamil Nadu,372,13,359,0,0.0,0.9650537634408602
Ariyalur,2020-06-05,Tamil Nadu,374,15,359,0,0.0,0.9598930481283422
